mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__gamma,param_imputer__strategy,param_scaler,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0077498435974121095,0.0005881872725422675,0.005253648757934571,0.0007163662173714113,1.0,scale,median,StandardScaler(),"{'classifier__C': 1.0, 'classifier__gamma': 'scale', 'imputer__strategy': 'median', 'scaler': StandardScaler()}",0.7878787878787878,0.7575757575757576,0.7518796992481203,0.7213114754098361,0.6717557251908397,0.7380802890606682,0.03932055030759858,15,0.8359375,0.8477842003853564,0.8287937743190662,0.8554455445544554,0.8483685220729367,0.8432659082663629,0.0095701974916802
0.012084531784057616,0.0007260591080336763,0.006662225723266602,0.0003476669588203538,1.0,scale,median,RobustScaler(),"{'classifier__C': 1.0, 'classifier__gamma': 'scale', 'imputer__strategy': 'median', 'scaler': RobustScaler()}",0.7786259541984732,0.7518796992481203,0.7769784172661871,0.6935483870967742,0.6666666666666666,0.7335398248952443,0.04544745480805052,16,0.823076923076923,0.8307692307692308,0.8458646616541353,0.8520710059171598,0.8452830188679246,0.8394129680570745,0.010750705364342012
0.010921812057495118,0.0017053903179876598,0.006453561782836914,0.00037570300175471895,1.0,0.01,median,StandardScaler(),"{'classifier__C': 1.0, 'classifier__gamma': 0.01, 'imputer__strategy': 'median', 'scaler': StandardScaler()}",0.7611940298507462,0.7480916030534351,0.7575757575757576,0.6829268292682927,0.6564885496183206,0.7212553538733104,0.04312370245189693,17,0.7819253438113949,0.7876447876447876,0.8160919540229885,0.8054474708171206,0.8143939393939394,0.8011006991380463,0.013921912150088825
0.01868448257446289,0.0007999469481103808,0.0061721324920654295,0.00024943207262889986,1.0,0.01,median,RobustScaler(),"{'classifier__C': 1.0, 'classifier__gamma': 0.01, 'imputer__strategy': 'median', 'scaler': RobustScaler()}",0.7518796992481203,0.7230769230769231,0.7555555555555555,0.6935483870967742,0.6818181818181818,0.721175749359111,0.029801366890498067,18,0.7509881422924901,0.7572815533980582,0.7649253731343284,0.7728155339805826,0.7954545454545454,0.768293029652001,0.015428893883434654
0.013987493515014649,0.0005101002892287837,0.006461620330810547,0.0002659463656309209,1.0,0.1,median,StandardScaler(),"{'classifier__C': 1.0, 'classifier__gamma': 0.1, 'imputer__strategy': 'median', 'scaler': StandardScaler()}",0.8095238095238095,0.8484848484848485,0.8208955223880597,0.8031496062992126,0.7758620689655172,0.8115831711322894,0.02366354497272286,11,0.967984934086629,0.9682242990654205,0.9700374531835206,0.9644859813084112,0.9702602230483272,0.9681985781384617,0.002071787717657508
0.0155364990234375,0.000511012400163283,0.005928516387939453,0.0004925797315183339,1.0,0.1,median,RobustScaler(),"{'classifier__C': 1.0, 'classifier__gamma': 0.1, 'imputer__strategy': 'median', 'scaler': RobustScaler()}",0.8333333333333334,0.8235294117647058,0.8260869565217391,0.828125,0.7563025210084033,0.8134754445256362,0.02876741524389989,10,0.9606003752345216,0.9626865671641791,0.9661654135338346,0.9552238805970149,0.9629629629629629,0.9615278398985027,0.0036196521901210575
0.012798643112182618,0.0007478389432568339,0.005506992340087891,0.00032647745207882954,10.0,scale,median,StandardScaler(),"{'classifier__C': 10.0, 'classifier__gamma': 'scale', 'imputer__strategy': 'median', 'scaler': StandardScaler()}",0.8613138686131386,0.8088235294117647,0.8571428571428571,0.8333333333333334,0.7642276422764228,0.8249682461555035,0.03571066335380549,9,0.9625468164794008,0.9643527204502814,0.9644859813084112,0.9555555555555556,0.9648798521256932,0.9623641851838685,0.0034978754428289733
0.017812156677246095,0.001233949332489311,0.005779743194580078,0.00019567952697655737,10.0,scale,median,RobustScaler(),"{'classifier__C': 10.0, 'classifier__gamma': 'scale', 'imputer__strategy': 'median', 'scaler': RobustScaler()}",0.8296296296296296,0.8088235294117647,0.8115942028985508,0.8333333333333334,0.7642276422764228,0.8095216675099403,0.02460754799441623,12,0.9459962756052142,0.9550561797752809,0.9589552238805971,0.9532710280373832,0.9595588235294118,0.9545675061655775,0.0048898050375413464
0.013686084747314453,0.0007091551425898308,0.005376434326171875,0.0004337632916733709,10.0,0.01,median,StandardScaler(),"{'classifier__C': 10.0, 'classifier__gamma': 0.01, 'imputer__strategy': 'median', 'scaler': StandardScaler()}",0.8507462686567164,0.8059701492537313,0.8120300751879699,0.7633587786259542,0.736,0.7936210543448743,0.03997667704836478,13,0.9300567107750473,0.9420560747663551,0.9376181474480151,0.9360902255639098,0.9467889908256881,0.938522029875803,0.005643127143128878
0.01726541519165039,0.0006425289779755767,0.005621528625488282,0.00032858127184178714,10.0,0.01,median,RobustScaler(),"{'classifier__C': 10.0, 'classifier__gamma': 0.01, 'imputer__strategy': 'median', 'scaler': RobustScaler()}",0.8062015503875969,0.7596899224806202,0.7819548872180451,0.7642276422764228,0.676923076923077,0.7577994158571524,0.04361681266057936,14,0.909433962264151,0.909433962264151,0.8960302457466919,0.9139579349904398,0.918625678119349,0.9094963566769565,0.0075444565179681854
0.012218809127807618,0.0009904716162090735,0.005669450759887696,0.0007643079940795278,10.0,0.1,median,StandardScaler(),"{'classifier__C': 10.0, 'classifier__gamma': 0.1, 'imputer__strategy': 'median', 'scaler': StandardScaler()}",0.8153846153846154,0.835820895522388,0.8321167883211679,0.8571428571428571,0.7936507936507936,0.8268231900043645,0.021257996012266512,7,0.9722735674676525,0.9708029197080292,0.9722735674676525,0.9671532846715328,0.9727767695099818,0.9710560217649696,0.0020601565644349676
0.015375709533691407,0.002073435070807728,0.0053981304168701175,0.0005365835977287232,10.0,0.1,median,RobustScaler(),"{'classifier__C': 10.0, 'classifier__gamma': 0.1, 'imputer__strategy': 'median', 'scaler': RobustScaler()}",0.8507462686567164,0.8296296296296296,0.8444444444444444,0.8656716417910447,0.7936507936507936,0.8368285556345259,0.024493965716940454,4,0.9722735674676525,0.9708029197080292,0.9722735674676525,0.9671532846715328,0.9726775956284153,0.9710361869886563,0.0020439073976484825
0.01385045051574707,0.0016638697269734908,0.004937458038330078,0.0005647388306492899,100.0,scale,median,StandardScaler(),"{'classifier__C': 100.0, 'classifier__gamma': 'scale', 'imputer__strategy': 'median', 'scaler': StandardScaler()}",0.8571428571428571,0.8260869565217391,0.8472222222222222,0.8656716417910447,0.7906976744186046,0.8373642704192935,0.02681278788766329,2,0.9722735674676525,0.9708029197080292,0.9722735674676525,0.9671532846715328,0.9726775956284153,0.9710361869886563,0.0020439073976484825
0.018759632110595705,0.0019693913844949533,0.005098676681518555,0.0003908833333091852,100.0,scale,median,RobustScaler(),"{'classifier__C': 100.0, 'classifier__gamma': 'scale', 'imputer__strategy': 'median', 'scaler': RobustScaler()}",0.8489208633093526,0.8321167883211679,0.8285714285714286,0.8549618320610687,0.7903225806451613,0.8309786985816359,0.02261469473342772,5,0.9722735674676525,0.9708029197080292,0.9722735674676525,0.9669117647058824,0.9725776965265083,0.9709679031751449,0.002120397696178965
0.01747446060180664,0.001313115594796484,0.006078529357910156,0.0005210889336987594,100.0,0.01,median,StandardScaler(),"{'classifier__C': 100.0, 'classifier__gamma': 0.01, 'imputer__strategy': 'median', 'scaler': StandardScaler()}",0.8633093525179856,0.8382352941176471,0.8275862068965517,0.8636363636363636,0.7936507936507936,0.8372836021638683,0.025963724270624874,3,0.9722735674676525,0.9708029197080292,0.9722735674676525,0.9669117647058824,0.9725776965265083,0.9709679031751449,0.002120397696178965
0.023648929595947266,0.00101212329484428,0.005748891830444336,0.0010238250962452482,100.0,0.01,median,RobustScaler(),"{'classifier__C': 100.0, 'classifier__gamma': 0.01, 'imputer__strategy': 'median', 'scaler': RobustScaler()}",0.8489208633093526,0.835820895522388,0.8142857142857143,0.8529411764705882,0.784,0.8271937299176086,0.025462688340165532,6,0.9701492537313433,0.966542750929368,0.9682242990654205,0.9613259668508287,0.9704797047970479,0.9673443950748016,0.0033267323845875456
0.012834453582763672,0.0003593583076494296,0.005946588516235351,0.000258900947088861,100.0,0.1,median,StandardScaler(),"{'classifier__C': 100.0, 'classifier__gamma': 0.1, 'imputer__strategy': 'median', 'scaler': StandardScaler()}",0.8153846153846154,0.835820895522388,0.8321167883211679,0.8571428571428571,0.7936507936507936,0.8268231900043645,0.021257996012266512,7,0.9722735674676525,0.9708029197080292,0.9722735674676525,0.9671532846715328,0.9727767695099818,0.9710560217649696,0.0020601565644349676
0.01562919616699219,0.0009282034959181353,0.0046783447265625,0.0007180989118842869,100.0,0.1,median,RobustScaler(),"{'classifier__C': 100.0, 'classifier__gamma': 0.1, 'imputer__strategy': 'median', 'scaler': RobustScaler()}",0.8507462686567164,0.8296296296296296,0.8444444444444444,0.8656716417910447,0.8217054263565892,0.8424394821756849,0.01553543825384537,1,0.9722735674676525,0.9708029197080292,0.9722735674676525,0.9671532846715328,0.9727767695099818,0.9710560217649696,0.0020601565644349676
