accuracy,precision,sensitivity,specificity,f1,auc,tn,fp,fn,tp,scenario,model,n_features,n_train_test_samples,best_cv_score,best_params
0.8633879781420765,0.8241758241758241,0.8928571428571429,0.8383838383838383,0.8571428571428571,0.9105940355940356,83.0,16.0,9.0,75.0,mfcc,svm_linear,450,183,0.8477660488319495,"{'classifier__C': 10.0, 'imputer__strategy': 'median', 'scaler': 'passthrough'}"
0.8743169398907104,0.8279569892473119,0.9166666666666666,0.8383838383838383,0.8700564971751412,0.9033790283790284,83.0,16.0,7.0,77.0,mfcc,svm_rbf,450,183,0.8743316341131073,"{'classifier__C': 100.0, 'classifier__gamma': 'scale', 'imputer__strategy': 'median', 'scaler': StandardScaler()}"
0.8524590163934426,0.8352941176470589,0.8452380952380952,0.8585858585858586,0.8402366863905325,0.9571308321308322,85.0,14.0,13.0,71.0,mfcc,mlp,450,183,0.8461195762423444,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (128, 64), 'classifier__learning_rate_init': 0.001, 'imputer__strategy': 'median', 'scaler': StandardScaler()}"
0.726775956284153,0.7428571428571429,0.6190476190476191,0.8181818181818182,0.6753246753246753,0.791065416065416,81.0,18.0,32.0,52.0,harmonics,svm_linear,64,183,0.6836865189686269,"{'classifier__C': 0.1, 'imputer__strategy': 'median', 'scaler': StandardScaler()}"
0.8743169398907104,0.8765432098765432,0.8452380952380952,0.898989898989899,0.8606060606060606,0.9008537758537758,89.0,10.0,13.0,71.0,harmonics,svm_rbf,64,183,0.8424394821756849,"{'classifier__C': 100.0, 'classifier__gamma': 0.1, 'imputer__strategy': 'median', 'scaler': RobustScaler()}"
0.8032786885245902,0.8428571428571429,0.7023809523809523,0.8888888888888888,0.7662337662337663,0.9010942760942761,88.0,11.0,25.0,59.0,harmonics,mlp,64,183,0.7137587144038757,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (128, 64), 'classifier__learning_rate_init': 0.001, 'imputer__strategy': 'median', 'scaler': StandardScaler()}"
0.5846994535519126,0.5689655172413793,0.39285714285714285,0.7474747474747475,0.4647887323943662,0.5951779701779701,74.0,25.0,51.0,33.0,energy_entropy_zcr,svm_linear,73,183,0.5636596320296862,"{'classifier__C': 1.0, 'imputer__strategy': 'median', 'scaler': 'passthrough'}"
0.8524590163934426,0.8518518518518519,0.8214285714285714,0.8787878787878788,0.8363636363636363,0.8985690235690236,87.0,12.0,15.0,69.0,energy_entropy_zcr,svm_rbf,73,183,0.8064384380097103,"{'classifier__C': 100.0, 'classifier__gamma': 0.1, 'imputer__strategy': 'median', 'scaler': StandardScaler()}"
0.6666666666666666,0.7017543859649122,0.47619047619047616,0.8282828282828283,0.5673758865248227,0.7126623376623377,82.0,17.0,44.0,40.0,energy_entropy_zcr,mlp,73,183,0.6093440103686772,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (128, 64), 'classifier__learning_rate_init': 0.001, 'imputer__strategy': 'median', 'scaler': StandardScaler()}"
0.819672131147541,0.7865168539325843,0.8333333333333334,0.8080808080808081,0.8092485549132948,0.8905122655122656,80.0,19.0,14.0,70.0,all_without_glottal,svm_linear,587,183,0.8549266631521524,"{'classifier__C': 0.1, 'imputer__strategy': 'median', 'scaler': StandardScaler()}"
0.8633879781420765,0.8554216867469879,0.8452380952380952,0.8787878787878788,0.8502994011976048,0.9006132756132756,87.0,12.0,13.0,71.0,all_without_glottal,svm_rbf,587,183,0.8826337981034434,"{'classifier__C': 100.0, 'classifier__gamma': 'scale', 'imputer__strategy': 'median', 'scaler': RobustScaler()}"
0.8797814207650273,0.9078947368421053,0.8214285714285714,0.9292929292929293,0.8625,0.9573713323713323,92.0,7.0,15.0,69.0,all_without_glottal,mlp,587,183,0.8277664091251541,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (128, 64), 'classifier__learning_rate_init': 0.001, 'imputer__strategy': 'median', 'scaler': StandardScaler()}"
