mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__alpha,param_classifier__hidden_layer_sizes,param_classifier__learning_rate_init,param_imputer__strategy,param_scaler,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.25542426109313965,0.07147649374737548,0.012961244583129883,0.0019091452517397073,0.0001,"(64,)",0.001,median,StandardScaler(),"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (64,), 'classifier__learning_rate_init': 0.001, 'imputer__strategy': 'median', 'scaler': StandardScaler()}",0.8529411764705882,0.8872180451127819,0.7941176470588235,0.8120300751879699,0.7401574803149606,0.8172928848290247,0.050348760020963244,9,0.9626865671641791,0.9584905660377359,0.8905660377358491,0.9467680608365019,0.9483747609942639,0.941377198553706,0.026102712032048173
0.3532686233520508,0.053080073533780185,0.008417463302612305,0.0019353016703280335,0.0001,"(64,)",0.001,median,RobustScaler(),"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (64,), 'classifier__learning_rate_init': 0.001, 'imputer__strategy': 'median', 'scaler': RobustScaler()}",0.8529411764705882,0.8805970149253731,0.7969924812030075,0.8270676691729323,0.7633587786259542,0.824191424079571,0.041126159493767286,5,0.9646182495344506,0.9639468690702088,0.9053030303030303,0.9523809523809523,0.9640831758034026,0.950066455418409,0.02284736382929799
0.31536145210266114,0.06173701170308852,0.009972000122070312,0.0022034851385709766,0.0001,"(128,)",0.001,median,StandardScaler(),"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (128,), 'classifier__learning_rate_init': 0.001, 'imputer__strategy': 'median', 'scaler': StandardScaler()}",0.8,0.8217054263565892,0.9064748201438849,0.8592592592592593,0.746031746031746,0.8266942503582959,0.05416517348144492,3,0.8863198458574181,0.9356060606060606,0.9644859813084112,0.9574861367837338,0.9591078066914498,0.9406011662494148,0.028877310071005295
0.40400004386901855,0.051863920224412385,0.0107269287109375,0.004226659356611839,0.0001,"(128,)",0.001,median,RobustScaler(),"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (128,), 'classifier__learning_rate_init': 0.001, 'imputer__strategy': 'median', 'scaler': RobustScaler()}",0.8153846153846154,0.796875,0.8905109489051095,0.8571428571428571,0.75,0.8219826842865163,0.04855470722284625,7,0.9013539651837524,0.9090909090909091,0.9642184557438794,0.9555555555555556,0.9573283858998145,0.9375094542947823,0.026633271235239904
0.3513512134552002,0.052529156595872664,0.00857243537902832,0.0018296718317804175,0.0001,"(128, 64)",0.001,median,StandardScaler(),"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (128, 64), 'classifier__learning_rate_init': 0.001, 'imputer__strategy': 'median', 'scaler': StandardScaler()}",0.835820895522388,0.8244274809160306,0.8028169014084507,0.8695652173913043,0.8062015503875969,0.8277664091251541,0.024127513891223577,1,0.9213051823416507,0.8918406072106262,0.897196261682243,0.957169459962756,0.9650092081031307,0.9265041438600813,0.030035124490191877
0.3391574382781982,0.12198290787393387,0.009312868118286133,0.0014666974302178638,0.0001,"(128, 64)",0.001,median,RobustScaler(),"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (128, 64), 'classifier__learning_rate_init': 0.001, 'imputer__strategy': 'median', 'scaler': RobustScaler()}",0.8091603053435115,0.7967479674796748,0.7851851851851852,0.8695652173913043,0.8062015503875969,0.8133720451574545,0.029317866180679622,11,0.9111969111969112,0.9139579349904398,0.8793774319066148,0.9527410207939508,0.9647495361781077,0.9244045670132047,0.030795091616922222
0.2000880241394043,0.028561864000551718,0.009879302978515626,0.002344531487034028,0.001,"(64,)",0.001,median,StandardScaler(),"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (64,), 'classifier__learning_rate_init': 0.001, 'imputer__strategy': 'median', 'scaler': StandardScaler()}",0.8529411764705882,0.8872180451127819,0.7941176470588235,0.8120300751879699,0.7401574803149606,0.8172928848290247,0.050348760020963244,9,0.9626865671641791,0.9584905660377359,0.8905660377358491,0.9467680608365019,0.9483747609942639,0.941377198553706,0.026102712032048173
0.39405088424682616,0.07742652515458819,0.010477209091186523,0.0017230670982841096,0.001,"(64,)",0.001,median,RobustScaler(),"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (64,), 'classifier__learning_rate_init': 0.001, 'imputer__strategy': 'median', 'scaler': RobustScaler()}",0.8529411764705882,0.8805970149253731,0.7969924812030075,0.8270676691729323,0.7633587786259542,0.824191424079571,0.041126159493767286,5,0.9646182495344506,0.9639468690702088,0.9053030303030303,0.9523809523809523,0.9640831758034026,0.950066455418409,0.02284736382929799
0.3642131805419922,0.09397166118327653,0.007978343963623047,0.0014765634190204537,0.001,"(128,)",0.001,median,StandardScaler(),"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (128,), 'classifier__learning_rate_init': 0.001, 'imputer__strategy': 'median', 'scaler': StandardScaler()}",0.8,0.8217054263565892,0.9064748201438849,0.8592592592592593,0.746031746031746,0.8266942503582959,0.05416517348144492,3,0.8863198458574181,0.9356060606060606,0.9644859813084112,0.9574861367837338,0.9591078066914498,0.9406011662494148,0.028877310071005295
0.39109487533569337,0.03299794512893229,0.006798505783081055,0.0030819051593672874,0.001,"(128,)",0.001,median,RobustScaler(),"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (128,), 'classifier__learning_rate_init': 0.001, 'imputer__strategy': 'median', 'scaler': RobustScaler()}",0.8153846153846154,0.796875,0.8905109489051095,0.8571428571428571,0.75,0.8219826842865163,0.04855470722284625,7,0.9013539651837524,0.9090909090909091,0.9642184557438794,0.9555555555555556,0.9573283858998145,0.9375094542947823,0.026633271235239904
