mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__alpha,param_classifier__hidden_layer_sizes,param_classifier__learning_rate_init,param_imputer__strategy,param_scaler,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.022194814682006837,0.0006166064686115762,0.0033638477325439453,0.00017089460572987917,0.0001,"(64,)",0.001,median,StandardScaler(),"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (64,), 'classifier__learning_rate_init': 0.001, 'imputer__strategy': 'median', 'scaler': StandardScaler()}",0.5666666666666667,0.5714285714285714,0.5882352941176471,0.71875,0.6557377049180327,0.6201636474261836,0.058721779278414446,1,0.6751054852320675,0.6581196581196581,0.7020408163265306,0.6578947368421053,0.675,0.6736321393040724,0.016120779323718082
0.02202153205871582,0.0035062721424920927,0.0033405780792236327,0.0001394634649717286,0.0001,"(64,)",0.001,median,RobustScaler(),"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (64,), 'classifier__learning_rate_init': 0.001, 'imputer__strategy': 'median', 'scaler': RobustScaler()}",0.5263157894736842,0.43137254901960786,0.52,0.6440677966101694,0.48,0.5203512270206924,0.07055057139040018,11,0.6695278969957081,0.4975609756097561,0.47572815533980584,0.6339285714285714,0.5,0.5553491198747682,0.07994249937713084
0.03194446563720703,0.007737360324208244,0.003479290008544922,0.00021929172198276037,0.0001,"(128,)",0.001,median,StandardScaler(),"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (128,), 'classifier__learning_rate_init': 0.001, 'imputer__strategy': 'median', 'scaler': StandardScaler()}",0.6875,0.5245901639344263,0.5306122448979592,0.6896551724137931,0.6333333333333333,0.6131381829159024,0.07272366290766305,3,0.743801652892562,0.6396761133603239,0.6808510638297872,0.7521367521367521,0.6363636363636364,0.6905658437166122,0.04949151246066252
0.033276844024658206,0.005138176169079994,0.004007196426391602,0.0005247338816145995,0.0001,"(128,)",0.001,median,RobustScaler(),"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (128,), 'classifier__learning_rate_init': 0.001, 'imputer__strategy': 'median', 'scaler': RobustScaler()}",0.5517241379310345,0.37735849056603776,0.43478260869565216,0.711864406779661,0.6181818181818182,0.5387822924308407,0.12108077666367649,9,0.6899563318777293,0.579185520361991,0.6210045662100456,0.6422018348623854,0.5314009661835749,0.6127498438991453,0.054112116421751025
0.03660359382629395,0.007194412048675414,0.004003095626831055,0.0006972159491087181,0.0001,"(128, 64)",0.001,median,StandardScaler(),"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (128, 64), 'classifier__learning_rate_init': 0.001, 'imputer__strategy': 'median', 'scaler': StandardScaler()}",0.6666666666666666,0.5245901639344263,0.52,0.711864406779661,0.6037735849056604,0.6053789644572828,0.07604512735727816,5,0.7603305785123967,0.6557377049180327,0.6200873362445415,0.7368421052631579,0.5866666666666667,0.671932878320959,0.06670521998463416
0.04999690055847168,0.009080234977723244,0.003631782531738281,0.0002641806702621859,0.0001,"(128, 64)",0.001,median,RobustScaler(),"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (128, 64), 'classifier__learning_rate_init': 0.001, 'imputer__strategy': 'median', 'scaler': RobustScaler()}",0.6428571428571429,0.5517241379310345,0.4166666666666667,0.6779661016949152,0.676923076923077,0.5932274252145673,0.09954389845106984,7,0.7426160337552743,0.70995670995671,0.526829268292683,0.7192982456140351,0.7586206896551724,0.691464189454775,0.08408076112565596
0.025569677352905273,0.002680813366925506,0.0034183979034423826,0.00022406209194559122,0.001,"(64,)",0.001,median,StandardScaler(),"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (64,), 'classifier__learning_rate_init': 0.001, 'imputer__strategy': 'median', 'scaler': StandardScaler()}",0.5666666666666667,0.5714285714285714,0.5882352941176471,0.71875,0.6557377049180327,0.6201636474261836,0.058721779278414446,1,0.6751054852320675,0.6581196581196581,0.7020408163265306,0.6578947368421053,0.675,0.6736321393040724,0.016120779323718082
0.026421022415161134,0.003148214247162968,0.0035926342010498048,0.0002928445473291601,0.001,"(64,)",0.001,median,RobustScaler(),"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (64,), 'classifier__learning_rate_init': 0.001, 'imputer__strategy': 'median', 'scaler': RobustScaler()}",0.5263157894736842,0.43137254901960786,0.52,0.6440677966101694,0.48,0.5203512270206924,0.07055057139040018,11,0.6695278969957081,0.4975609756097561,0.47572815533980584,0.6339285714285714,0.5,0.5553491198747682,0.07994249937713084
0.034388256072998044,0.008470477185268084,0.0035327911376953126,0.0004615618322499704,0.001,"(128,)",0.001,median,StandardScaler(),"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (128,), 'classifier__learning_rate_init': 0.001, 'imputer__strategy': 'median', 'scaler': StandardScaler()}",0.676923076923077,0.5245901639344263,0.5306122448979592,0.6896551724137931,0.6333333333333333,0.6110227983005178,0.07065424875637658,4,0.743801652892562,0.6396761133603239,0.6808510638297872,0.7521367521367521,0.6363636363636364,0.6905658437166122,0.04949151246066252
0.03313450813293457,0.004617079992667112,0.003084278106689453,0.0007982975033928695,0.001,"(128,)",0.001,median,RobustScaler(),"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (128,), 'classifier__learning_rate_init': 0.001, 'imputer__strategy': 'median', 'scaler': RobustScaler()}",0.5517241379310345,0.37735849056603776,0.43478260869565216,0.711864406779661,0.6181818181818182,0.5387822924308407,0.12108077666367649,9,0.6899563318777293,0.579185520361991,0.6210045662100456,0.6422018348623854,0.5314009661835749,0.6127498438991453,0.054112116421751025
0.03352985382080078,0.0051480714366028265,0.0029465198516845704,0.0003746622038244149,0.001,"(128, 64)",0.001,median,StandardScaler(),"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (128, 64), 'classifier__learning_rate_init': 0.001, 'imputer__strategy': 'median', 'scaler': StandardScaler()}",0.6666666666666666,0.5245901639344263,0.52,0.7,0.6037735849056604,0.6030060831013506,0.07280129818191464,6,0.7603305785123967,0.6557377049180327,0.6200873362445415,0.7368421052631579,0.5866666666666667,0.671932878320959,0.06670521998463416
0.04050579071044922,0.005069015037642284,0.001981687545776367,3.466884885177884e-05,0.001,"(128, 64)",0.001,median,RobustScaler(),"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (128, 64), 'classifier__learning_rate_init': 0.001, 'imputer__strategy': 'median', 'scaler': RobustScaler()}",0.6428571428571429,0.5517241379310345,0.4166666666666667,0.6779661016949152,0.676923076923077,0.5932274252145673,0.09954389845106984,7,0.7426160337552743,0.70995670995671,0.526829268292683,0.7192982456140351,0.7586206896551724,0.691464189454775,0.08408076112565596
