mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__gamma,param_imputer__strategy,param_scaler,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.017951011657714844,0.0008385398692184379,0.00850539207458496,0.00047710855390051303,1.0,scale,median,StandardScaler(),"{'classifier__C': 1.0, 'classifier__gamma': 'scale', 'imputer__strategy': 'median', 'scaler': StandardScaler()}",0.7352941176470589,0.7536231884057971,0.84375,0.7887323943661971,0.7936507936507936,0.7830100988139692,0.037351599727843326,2,0.9609375,0.9407114624505929,0.953125,0.9609375,0.9453125,0.9522047924901186,0.008160483734857013
0.04614801406860351,0.002812293850110727,0.009266471862792969,0.0010998817367556992,1.0,scale,median,RobustScaler(),"{'classifier__C': 1.0, 'classifier__gamma': 'scale', 'imputer__strategy': 'median', 'scaler': RobustScaler()}",0.7164179104477612,0.7575757575757576,0.84375,0.7714285714285715,0.78125,0.7740844478904181,0.04125446488340218,5,0.9490196078431372,0.937007874015748,0.937007874015748,0.9486166007905138,0.9375,0.9418303913330295,0.005709695411809477
0.021883058547973632,0.001561311464119525,0.00904083251953125,0.0004772327212898679,1.0,0.01,median,StandardScaler(),"{'classifier__C': 1.0, 'classifier__gamma': 0.01, 'imputer__strategy': 'median', 'scaler': StandardScaler()}",0.6896551724137931,0.6666666666666666,0.6666666666666666,0.52,0.5833333333333334,0.625264367816092,0.06389565744474301,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.046549081802368164,0.0009214091236527235,0.008655548095703125,0.0004870353903389633,1.0,0.01,median,RobustScaler(),"{'classifier__C': 1.0, 'classifier__gamma': 0.01, 'imputer__strategy': 'median', 'scaler': RobustScaler()}",0.684931506849315,0.7945205479452054,0.8059701492537313,0.8115942028985508,0.8405797101449275,0.787519223418346,0.053495260890652985,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.02185544967651367,0.0027177933316446298,0.009110736846923827,0.0007935612952750597,1.0,0.1,median,StandardScaler(),"{'classifier__C': 1.0, 'classifier__gamma': 0.1, 'imputer__strategy': 'median', 'scaler': StandardScaler()}",0.17142857142857143,0.11428571428571428,0.06060606060606061,0.17142857142857143,0.17142857142857143,0.1378354978354978,0.04450721752773637,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.05110125541687012,0.00904157408080343,0.010072898864746094,0.000872849179433461,1.0,0.1,median,RobustScaler(),"{'classifier__C': 1.0, 'classifier__gamma': 0.1, 'imputer__strategy': 'median', 'scaler': RobustScaler()}",0.17142857142857143,0.11428571428571428,0.06060606060606061,0.17142857142857143,0.17142857142857143,0.1378354978354978,0.04450721752773637,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.02014002799987793,0.0015299820836041649,0.009291934967041015,0.0010160237934627625,10.0,scale,median,StandardScaler(),"{'classifier__C': 10.0, 'classifier__gamma': 'scale', 'imputer__strategy': 'median', 'scaler': StandardScaler()}",0.7164179104477612,0.7941176470588235,0.8253968253968254,0.782608695652174,0.7666666666666667,0.7770415490444501,0.0358989769684813,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.05132937431335449,0.0026531174018308078,0.009091377258300781,0.0003470758433221117,10.0,scale,median,RobustScaler(),"{'classifier__C': 10.0, 'classifier__gamma': 'scale', 'imputer__strategy': 'median', 'scaler': RobustScaler()}",0.7246376811594203,0.7878787878787878,0.8125,0.7714285714285715,0.7666666666666667,0.7726223414266892,0.028852762714360963,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.024643135070800782,0.002652367108939048,0.010066699981689454,0.0004329537870322064,10.0,0.01,median,StandardScaler(),"{'classifier__C': 10.0, 'classifier__gamma': 0.01, 'imputer__strategy': 'median', 'scaler': StandardScaler()}",0.5882352941176471,0.6,0.5217391304347826,0.52,0.5833333333333334,0.5626615515771526,0.03455474246540362,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.057050657272338864,0.005593907422860222,0.010177230834960938,0.0009849054892439861,10.0,0.01,median,RobustScaler(),"{'classifier__C': 10.0, 'classifier__gamma': 0.01, 'imputer__strategy': 'median', 'scaler': RobustScaler()}",0.7142857142857143,0.8115942028985508,0.8064516129032258,0.7,0.7241379310344828,0.7512938922243948,0.047784132219598895,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
